job_title,job_category,salary,employee_residence,experience_level,employment_type,work_setting
Data DevOps Engineer,Data Engineering,95012,Germany,Mid-level,Full-time,Hybrid
Data Architect,Data Architecture and Modeling,186000,United States,Senior,Full-time,In-person
Data Architect,Data Architecture and Modeling,81800,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,212000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,93300,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,130000,United States,Senior,Full-time,Remote
Data Scientist,Data Science and Research,100000,United States,Senior,Full-time,Remote
Machine Learning Researcher,Machine Learning and AI,224400,United States,Mid-level,Full-time,In-person
Machine Learning Researcher,Machine Learning and AI,138700,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,210000,United States,Executive,Full-time,Remote
Data Engineer,Data Engineering,168000,United States,Executive,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,224400,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,138700,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,43064,United Kingdom,Mid-level,Full-time,In-person
Data Scientist,Data Science and Research,36912,United Kingdom,Mid-level,Full-time,In-person
Data Analyst,Data Analysis,95000,United States,Entry-level,Full-time,In-person
Data Analyst,Data Analysis,75000,United States,Entry-level,Full-time,In-person
Data Scientist,Data Science and Research,300000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,234000,United States,Senior,Full-time,In-person
Analytics Engineer,Leadership and Management,140000,United States,Mid-level,Full-time,In-person
Analytics Engineer,Leadership and Management,120000,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,204500,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,142200,United States,Mid-level,Full-time,In-person
Data Analyst,Data Analysis,155000,United States,Mid-level,Full-time,In-person
Data Analyst,Data Analysis,110000,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,266500,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,152000,United States,Senior,Full-time,In-person
Applied Scientist,Data Science and Research,222200,United States,Mid-level,Full-time,In-person
Applied Scientist,Data Science and Research,136000,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,273400,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,182200,United States,Senior,Full-time,In-person
BI Developer,BI and Visualization,167500,United States,Senior,Full-time,In-person
BI Developer,BI and Visualization,106500,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,185900,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,129300,United States,Senior,Full-time,In-person
Business Intelligence Engineer,BI and Visualization,185000,United States,Mid-level,Full-time,In-person
Business Intelligence Engineer,BI and Visualization,79600,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,122000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,94500,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,247300,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,139700,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,176000,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,100000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,204500,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,142200,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,247600,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,127300,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,223400,United States,Senior,Full-time,Remote
Data Scientist,Data Science and Research,186200,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,167500,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,106500,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,185900,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,129300,United States,Senior,Full-time,In-person
Research Analyst,Data Science and Research,72000,United States,Entry-level,Full-time,Remote
Research Analyst,Data Science and Research,64000,United States,Entry-level,Full-time,Remote
Analytics Engineer,Leadership and Management,179820,United States,Senior,Full-time,In-person
Analytics Engineer,Leadership and Management,143860,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,283050,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,188700,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,133000,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,58400,United States,Mid-level,Full-time,In-person
Research Engineer,Data Science and Research,141298,United States,Senior,Full-time,In-person
Research Engineer,Data Science and Research,115607,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,100000,United States,Entry-level,Full-time,In-person
Data Analyst,Data Analysis,75000,United States,Entry-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,266500,Canada,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,144400,Canada,Senior,Full-time,In-person
Data Engineer,Data Engineering,71363,United Kingdom,Senior,Full-time,In-person
Data Engineer,Data Engineering,55368,United Kingdom,Senior,Full-time,In-person
Research Scientist,Data Science and Research,287500,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,156000,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,90000,United States,Mid-level,Full-time,Remote
Data Analyst,Data Analysis,70000,United States,Mid-level,Full-time,Remote
Data Engineer,Data Engineering,199000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,162000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,170884,United States,Mid-level,Full-time,Remote
Data Engineer,Data Engineering,113923,United States,Mid-level,Full-time,Remote
Data Engineer,Data Engineering,184000,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,123000,United States,Mid-level,Full-time,In-person
Data Scientist,Data Science and Research,235750,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,174250,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,165000,United States,Mid-level,Full-time,Remote
Research Scientist,Data Science and Research,118800,United States,Mid-level,Full-time,Remote
Data Engineer,Data Engineering,225000,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,150000,United States,Senior,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,213900,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,116800,United States,Mid-level,Full-time,In-person
Data Scientist,Data Science and Research,220000,United States,Senior,Full-time,Remote
Data Scientist,Data Science and Research,150000,United States,Senior,Full-time,Remote
Data Scientist,Data Science and Research,150000,United States,Mid-level,Full-time,In-person
Data Scientist,Data Science and Research,100000,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,247500,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,172200,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,155000,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,120000,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,226700,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,133300,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,184000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,123000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,130000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,117000,United States,Senior,Full-time,In-person
Data Science Engineer,Data Science and Research,160000,United States,Senior,Full-time,Remote
Data Science Engineer,Data Science and Research,140000,United States,Senior,Full-time,Remote
Data Scientist,Data Science and Research,166000,United States,Mid-level,Full-time,In-person
Data Scientist,Data Science and Research,73000,United States,Mid-level,Full-time,In-person
Data Scientist,Data Science and Research,185900,United States,Senior,Full-time,Remote
Data Scientist,Data Science and Research,129300,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,130000,United States,Mid-level,Full-time,In-person
